Variables:	shot	t1	t2
Type:	Long	Float	Float
Data:	1080103027	1.1	1.3
Data:	1080104014	1.15	1.35
Data:	1080118002	1.32	1.5
Data:	1080122012	1.17	1.37
Data:	1080125011	0.75	1.15
Data:	1080125012	0.9	1.1
Data:	1080125013	0.85	1.15
Data:	1080125015	0.7	1.05
Data:	1080125016	0.9	1.15
Data:	1080125021	0.9	1.3
Data:	1080125022	0.9	1.2
Data:	1080125023	0.9	1.25
Data:	1080125024	0.9	1.25
Data:	1080125025	1.2	1.5
Data:	1080125027	0.75	1
Data:	1080129008	0.95	1.25
Data:	1080129024	0.8	1.15
Data:	1080130006	0.85	1.15
Data:	1080130007	0.8	1
Data:	1080130009	0.85	1.15
Data:	1080130010	0.75	1.15
Data:	1080213011	1.1	1.45
Data:	1080213014	0.95	1.45
Data:	1080213018	1	1.45
Data:	1080213019	1.1	1.45
Data:	1080213020	0.85	1.5
Data:	1080213021	0.85	1.2
Data:	1080213027	0.9	1.3
Data:	1080213030	0.95	1.15
Data:	1080213031	1.2	1.4
Data:	1080221024	0.8	1.2
Data:	1080221027	0.8	1.2
Data:	1080228018	1.05	1.45
Data:	1080228019	0.8	1.45
Data:	1080304029	0.9	1.4
Data:	1080321015	1.05	1.5
Data:	1080321019	1.05	1.45
Data:	1080321020	0.8	1.5
Data:	1080321021	0.8	1.2
Data:	1080321024	1.05	1.5
Data:	1080321026	0.77	1
Data:	1080321027	0.78	1
Data:	1080321028	0.78	1
Data:	1080321031	0.8	1.1
Data:	1080321032	0.9	1.5
Data:	1080325019	0.6	1.5
Data:	1080325020	0.65	1.5
Data:	1080326001	0.95	1.5
Data:	1080326002	0.4	1.5
Data:	1080326003	1	1.5
Data:	1080404010	0.9	1.3
Data:	1080404015	0.7	1.1
Data:	1080409010	0.85	1.05
Data:	1080415003	0.9	1.25
Data:	1080415006	0.85	1.05
Data:	1080415012	0.9	1.45
Data:	1080415013	0.75	1.3
Data:	1080415024	0.8	1.1
Data:	1080415026	1.2	1.45
Data:	1080415027	1	1.4
Data:	1080415029	1.3	1.5
Data:	1080416003	1.25	1.5
Data:	1080423009	0.7	1
Data:	1080514010	0.85	1.3
Data:	1080514012	0.9	1.3
Data:	1080514013	0.8	1.3
Data:	1080516002	0.95	1.5
Data:	1080516003	0.85	1.5
Data:	1080516005	0.85	1.2
Data:	1080516011	0.8	1.2
Data:	1080516019	0.5	0.85
Data:	1080523014	1	1.3
Data:	1080523016	1	1.3
