Variables:	shot	t1	t2
Type:	Long	Float	Float
Data:	1080104022	1.1	1.5
Data:	1080110005	1	1.3
Data:	1080110007	1.1	1.3
Data:	1080110016	1	1.25
Data:	1080110024	0.85	1.5
Data:	1080116008	1	1.5
Data:	1080116012	0.7	1.05
Data:	1080116021	1.1	1.45
Data:	1080116024	0.9	1.5
Data:	1080125006	1.2	1.5
Data:	1080129017	0.75	1.15
Data:	1080130005	0.65	1.1
Data:	1080130025	0.65	1.4
Data:	1080130026	0.7	1.4
Data:	1080220003	0.7	1.5
Data:	1080220004	0.7	1.5
Data:	1080220006	0.7	1.25
Data:	1080220007	0.7	1.3
Data:	1080220008	0.7	1.4
Data:	1080220010	0.7	1.4
Data:	1080220012	0.7	1.4
Data:	1080321011	0.8	1.5
Data:	1080321030	0.9	1.15
Data:	1080403002	1	1.5
Data:	1080403003	0.65	1.35
Data:	1080403005	0.9	1.3
Data:	1080403008	0.9	1.5
Data:	1080403009	0.7	1.4
Data:	1080403010	0.75	1.5
Data:	1080403013	0.75	1.5
Data:	1080403014	1	1.5
Data:	1080403015	0.85	1.5
Data:	1080403016	0.8	1.5
Data:	1080403017	0.85	1.5
Data:	1080403021	0.75	1.5
Data:	1080403022	0.6	1.3
Data:	1080403023	0.7	1.3
Data:	1080403027	0.85	1.5
Data:	1080411018	0.5	1.5
Data:	1080415017	1.1	1.5
Data:	1080416001	1	1.4
Data:	1080416002	0.75	1.15
Data:	1080416006	0.7	1.15
Data:	1080416007	0.7	1.4
Data:	1080416008	0.7	1.35
Data:	1080416012	0.7	1.1
Data:	1080416014	0.85	1.1
Data:	1080416021	0.7	1.1
Data:	1080422010	0.75	1.05
Data:	1080422011	0.55	1
Data:	1080422012	0.75	1.3
Data:	1080422013	0.6	1.25
Data:	1080422015	0.8	1.5
Data:	1080422017	0.55	1.15
Data:	1080516001	1.05	1.5
Data:	1080522001	1.1	1.35
