Variables:	shot	t1	t2
Type:	Long	Float	Float
Data:	1080108001	1.05	1.4
Data:	1080108002	0.65	1.3
Data:	1080118002	0.5	1.15
Data:	1080118011	0.75	1
Data:	1080118012	0.75	1
Data:	1080118017	1.15	1.5
Data:	1080118018	1.2	1.5
Data:	1080118019	1.2	1.45
Data:	1080118023	1.15	1.55
Data:	1080118034	1.25	1.6
Data:	1080124001	0.6	1.05
Data:	1080124002	0.65	1.1
Data:	1080124003	0.6	0.9
Data:	1080124004	0.6	0.95
Data:	1080124006	0.65	0.9
Data:	1080124009	0.6	1.1
Data:	1080124013	0.55	1
Data:	1080124014	0.6	1.1
Data:	1080124015	0.6	1.1
Data:	1080124016	0.6	1.1
Data:	1080124016	1.32	1.41
Data:	1080124017	0.6	1.1
Data:	1080124026	0.4	1.2
Data:	1080124027	0.7	1.05
Data:	1080124028	0.65	1.1
Data:	1080124029	0.6	1.2
Data:	1080124030	0.6	1.1
Data:	1080124031	0.55	0.95
Data:	1080124031	0.98	1.08
Data:	1080124034	0.6	1
Data:	1080125006	0.5	1.2
Data:	1080125018	0.7	1.15
Data:	1080129001	1.15	1.55
Data:	1080129006	0.9	1.2
Data:	1080129021	0.55	1.5
Data:	1080130017	0.7	1.4
Data:	1080130018	0.7	1.5
Data:	1080201002	0.6	0.8
Data:	1080201002	0.9	1.15
Data:	1080201003	0.85	1.2
Data:	1080201004	0.55	0.8
Data:	1080201004	0.9	1.1
Data:	1080201006	0.9	1.2
Data:	1080220001	0.8	1.5
Data:	1080222007	0.6	1.5
Data:	1080222020	1	1.5
Data:	1080222022	1	1.5
Data:	1080222023	1.1	1.5
Data:	1080222024	1.1	1.5
Data:	1080222026	1	1.5
Data:	1080222029	0.4	0.95
Data:	1080222030	0.35	0.95
Data:	1080226022	0.9	1.15
Data:	1080226024	0.7	1
Data:	1080227002	0.9	1.5
Data:	1080227003	0.95	1.45
Data:	1080227004	0.95	1.45
Data:	1080227007	0.95	1.5
Data:	1080227008	0.95	1.5
Data:	1080227011	1	1.45
Data:	1080227012	1	1.5
Data:	1080227013	1	1.5
Data:	1080227015	1	1.5
Data:	1080227016	1	1.5
Data:	1080227017	1	1.5
Data:	1080227018	1	1.5
Data:	1080227019	1	1.4
Data:	1080227020	1	1.4
Data:	1080227024	1	1.45
Data:	1080228002	1	1.5
Data:	1080228003	1	1.5
Data:	1080228006	1.1	1.5
Data:	1080228009	1.15	1.5
Data:	1080305011	1.2	1.55
Data:	1080305012	1.3	1.5
Data:	1080305013	0.9	1.55
Data:	1080305015	0.75	1.5
Data:	1080305017	0.65	1.4
Data:	1080305018	0.75	1.55
Data:	1080305024	0.75	1
Data:	1080305025	0.65	1.15
Data:	1080305026	0.65	1.05
Data:	1080305029	0.7	1.25
Data:	1080305032	0.75	1.55
Data:	1080305033	0.4	1.05
Data:	1080305034	0.55	1.35
Data:	1080305035	0.55	1.35
Data:	1080311002	0.45	1.05
Data:	1080311003	0.7	1.15
Data:	1080311030	0.6	1
Data:	1080313004	0.55	1
Data:	1080313009	0.5	1
Data:	1080313010	0.5	1
Data:	1080313012	0.5	1
Data:	1080313013	0.5	1
Data:	1080313014	0.5	1
Data:	1080313015	0.5	1
Data:	1080313016	0.55	1
Data:	1080313017	0.55	1
Data:	1080313030	0.6	1.1
Data:	1080314025	1.1	1.5
Data:	1080318017	0.9	1.35
Data:	1080318020	0.8	1.4
Data:	1080318021	0.8	1.4
Data:	1080318022	0.8	1.4
Data:	1080318023	0.8	1.4
Data:	1080318024	0.75	1.4
Data:	1080318026	0.8	1.4
Data:	1080319002	0.65	1.6
Data:	1080319004	0.6	1.65
Data:	1080319005	0.65	1.65
Data:	1080319006	0.65	1.6
Data:	1080319007	0.65	1.6
Data:	1080319008	0.65	1.65
Data:	1080319009	0.65	1.65
Data:	1080319010	0.65	1.65
Data:	1080319013	0.65	1.7
Data:	1080319016	0.65	1.7
Data:	1080319017	0.5	1.5
Data:	1080319018	0.5	1.5
Data:	1080319020	0.5	1.5
Data:	1080319021	0.5	1.5
Data:	1080319023	0.5	1.5
Data:	1080319024	0.5	1.5
Data:	1080319025	0.6	1.5
Data:	1080319026	0.6	1.5
Data:	1080319027	0.65	1.5
Data:	1080319028	0.65	1.5
Data:	1080319029	0.7	1.5
