Variables:,shot
Type:,Long
Data:,1070511002
Data:,1070511010
Data:,1070511011
Data:,1070511013
Data:,1070511019
Data:,1070511022
Data:,1070511035
Data:,1070518013
Data:,1070518016
Data:,1070518021
Data:,1070518028
Data:,1070627005
Data:,1070627006
Data:,1070627007
Data:,1070627008
Data:,1070627009
Data:,1070627011
Data:,1070627013
Data:,1070627014
Data:,1070627018
Data:,1070627020
Data:,1070627022
Data:,1070627023
Data:,1070627024
Data:,1070627025
Data:,1070627026
Data:,1070627027
Data:,1070627029
Data:,1070627030
Data:,1070627031
Data:,1070627032
Data:,1070710004
Data:,1070710005
Data:,1070710006
Data:,1070710011
Data:,1070710020
Data:,1070725009
Data:,1070725010
Data:,1070725011
Data:,1070725016
Data:,1070725023
